period,type,sales_syp
2025-05,actual,31622000.0
2025-06,actual,57020000.0
2025-07,actual,53529000.0
2025-08,actual,59458000.0
2025-09,actual,57317000.0
2025-10,actual,61120000.0
2025-11,actual,56776000.0
2025-12,actual,62784000.0
2026-01,actual,66087000.0
2026-02,actual,52455000.0
2026-03,actual,58034000.0
2026-04,actual,56019000.0
2025-05,fitted,47507578.34799499
2025-06,fitted,48944245.73978834
2025-07,fitted,50380913.48863337
2025-08,fitted,51817581.16405043
2025-09,fitted,53254248.90640846
2025-10,fitted,54690916.59545508
2025-11,fitted,56127584.3197628
2025-12,fitted,57564251.95793186
2026-01,fitted,59000919.66421908
2026-02,fitted,60437587.39831682
2026-03,fitted,61874254.90787391
2026-04,fitted,63310922.47915657
2026-05,forecast,64747589.99900537
2026-06,forecast,66184257.62751228
2026-07,forecast,67620925.2560192
